area,mean_intensity,perimeter,prep,dir_name,image_name
1532.0,1.0,153.81118318204307,TFIIB FL,data,good_condensates
1644.0,1.0,157.63961030678928,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
932.0,1.0,120.66904755831214,TFIIB FL,data,good_condensates
2237.0,1.0,204.0893577750951,TFIIB FL,data,good_condensates
129.0,1.0,50.42031021678298,TFIIB FL,data,good_condensates
9801.0,1.0,711.3158005400378,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
793.0,1.0,112.25483399593904,TFIIB FL,data,good_condensates
1511.0,1.0,152.01828996322962,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
179.0,1.0,66.79898987322332,TFIIB FL,data,good_condensates
294.0,1.0,70.2842712474619,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
354.0,1.0,83.11269837220809,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
344.0,1.0,76.11269837220809,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
227.0,1.0,69.45584412271572,TFIIB FL,data,good_condensates
359.0,1.0,73.11269837220809,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2136.0,1.0,190.4386001800126,TFIIB FL,data,good_condensates
792.0,1.0,113.42640687119285,TFIIB FL,data,good_condensates
361.0,1.0,76.2842712474619,TFIIB FL,data,good_condensates
364.0,1.0,94.21320343559643,TFIIB FL,data,good_condensates
2785.0,1.0,209.92388155425118,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
16.0,1.0,11.207106781186548,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
6837.0,1.0,397.62846301849606,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4.0,1.0,2.0,TFIIB FL,data,good_condensates
4.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
12.0,1.0,11.035533905932738,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
450.0,1.0,86.18376618407356,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
43.0,1.0,29.692388155425117,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
911.0,1.0,121.32590180780451,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3172.0,1.0,226.88834764831844,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
835.0,1.0,120.46194077712559,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
13075.0,1.0,745.9432175380073,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
900.0,1.0,118.08326112068522,TFIIB FL,data,good_condensates
4.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
643.0,1.0,102.63351365237939,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3091.0,1.0,219.88834764831844,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
251.0,1.0,65.21320343559643,TFIIB FL,data,good_condensates
3.0,1.0,1.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
4.0,1.0,3.2071067811865475,TFIIB FL,data,good_condensates
